Model,Accuracy,Top-3 Accuracy,Precision,Recall,F1 Score,MCC
MobileNetV2,0.9176666666666666,0.9795,0.9209440342679446,0.9176666666666666,0.9180776340974274,0.9143484008364172
EfficientNetV2-B0,0.9245,0.9795,0.9254612760417786,0.9245,0.9245277919508678,0.921392025565876
ViT-B/32,0.937,0.9875,0.939721426604639,0.9370000000000002,0.9373485289632916,0.934462069098677
ResNet50,0.9431666666666668,0.99,0.9453224637412536,0.9431666666666668,0.9433708121126054,0.9408715205891698
Linear Mean Ensemble,0.9806666666666667,0.9958333333333333,0.9808956034010844,0.9806666666666666,0.9807003566911057,0.9798678590669405
Geometric Mean Ensemble,0.9838333333333333,0.9963333333333333,0.9839656261132,0.9838333333333334,0.9838448024067433,0.9831642739192118
